,alpha,alpha_t,beta,beta_t
0,0.6097824548737667,1.299023224173934,155.13544711897663,32.434287962222996
1,0.4307755905828431,0.8798911799126675,162.18284305764743,32.51128404292855
2,0.5131476099741066,1.1007632066948485,156.08993200741278,32.860776453260264
3,0.7479992926915797,1.4318046248670118,154.86668742199393,29.093228500474517
4,0.597705667847657,1.1540798510051813,155.65714052032283,29.49639007663489
5,1.0363408205211537,1.966639892864397,159.36215962418655,29.679650422911322
6,0.9168396290830744,1.7009189616441729,153.56072021655862,27.959005626675353
7,1.403274895057254,2.407665628309854,159.39454470914293,26.83973391894877
8,1.348490080033576,2.5357492966945823,159.99192549243,29.526227261417297
9,1.8069036582718967,3.3630691026158956,156.16073252447848,28.524889238117755
