,MAX,Mon_BM,Mon_EP,Mon_IVol,Mon_Illiq,Mon_SizeAll,Mon_SizeFlt,Mon_Turnover,Mon_Yield,Mon_Yield_1,R_VW,decile
0.0,0.02691096679596141,0.49071355036632897,0.014543026973225693,0.016502613585991702,0.8690035225980272,2731578.6897572526,1349781.6437424086,31.38665412863972,-0.03892296330928684,0.01718974822649628,-0.0001545755190537654,0.0
1.0,0.03539605533901628,0.4724251704269629,0.012778861563902509,0.01747304202971463,0.9034374278861639,1221892.2800024461,665809.4770155533,38.08943130496304,-0.016592783703596223,0.0131079615876868,-0.00012718611963190695,1.0
2.0,0.040761903617068995,0.4544444595797008,0.014071162680456058,0.018237027418488243,0.7413527225239518,994043.8864022162,531351.7014263505,42.05310633060987,-0.013026698587518227,0.017098349025885196,3.536932758680684e-05,2.0
3.0,0.04575874205401558,0.4345197173077659,0.013389633397083817,0.018638114613533877,1.5294905217782262,965187.4772940944,530670.1862749037,44.55106802503711,-0.005074920934294673,0.017608047550122085,3.758404322445101e-05,3.0
4.0,0.051269499961305,0.41740648164125904,0.011770910096071303,0.019447410877986595,0.6007193247289134,919420.6061785982,519246.5872185902,48.05630716642786,0.006610804414992797,0.022123018405455833,2.82942254302501e-05,4.0
5.0,0.05754900523498946,0.39945360422766424,0.010676619719734595,0.01971538164585357,0.4369084067730894,958978.7345060584,525597.9437468795,51.12460929835754,0.01907773535858213,0.024933122730242844,0.00020202122134422958,5.0
6.0,0.06491710293510326,0.37557485521355133,0.008113145810423002,0.020688075470609472,0.3592300746118891,1015295.603700253,533198.6580032057,54.71320003743201,0.03613759232072644,0.03282268182151773,0.0003638562995815118,6.0
7.0,0.07424245076637273,0.377175320299355,0.01256060194686574,0.02091118543751055,0.30310210607328086,980896.1333362721,541681.7705005215,60.252882132771816,0.05372110285080545,0.033770386126044785,0.0005752960360318752,7.0
8.0,0.0876716503955484,0.3687824495746622,0.01266354649607442,0.02147562174098678,0.3698428833779932,811637.4248092388,483122.18251146807,71.433904268099,0.08509695625029944,0.04227175874373878,0.0005865713940213096,8.0
9.0,0.11778820389223266,0.3790558054499934,0.0051299350155516645,0.02067381736095699,0.4671015230689988,683217.4176095616,388838.8162405032,88.99674491400572,0.13915410574556814,0.03451826989158912,0.0006683569620317205,9.0
